"_col0","lifespan","objects"
"2013-09-06 00:00:00.000","1393458.2","5"
"2014-11-15 00:00:00.000","646022.5","4"
"2016-01-03 00:00:00.000","832528.5","2"
"2017-08-14 00:00:00.000",,"1"
"2017-12-08 00:00:00.000","194696.92857142858","463"
"2013-07-24 00:00:00.000","1677234.3548387096","35"
"2016-12-08 00:00:00.000","481524.6","92"
"2018-02-09 00:00:00.000",,"8"
"2011-09-20 00:00:00.000","2205080.6666666665","3"
"2015-09-18 00:00:00.000","227288.0","1"
"2017-09-22 00:00:00.000",,"1"
"2010-08-08 00:00:00.000","587173.0","1"
"2016-12-22 00:00:00.000","576995.0","4"
"2014-09-11 00:00:00.000","11743.0","1"
"2016-09-16 00:00:00.000","420848.62809917354","531"
"2016-09-23 00:00:00.000","361457.62666666665","341"
"2015-12-03 00:00:00.000","596139.5714285715","74"
"2016-11-25 00:00:00.000","212362.30434782608","79"
"2013-07-31 00:00:00.000","1539434.564516129","75"
"2016-09-29 00:00:00.000","111881.33333333333","65"
"2013-10-02 00:00:00.000","1453491.5","2"
"2013-09-25 00:00:00.000",,"1"
"2017-09-09 00:00:00.000",,"1"
"2016-10-27 00:00:00.000","313627.28571428574","110"
"2016-08-11 00:00:00.000","134897.1894736842","154"
"2016-10-20 00:00:00.000","64722.0","16"
"2014-11-04 00:00:00.000","926094.0","1"
"2017-08-17 00:00:00.000",,"4"
"2017-08-10 00:00:00.000","3.0","2"
"2017-11-15 00:00:00.000","107786.6875","370"
"2018-12-21 00:00:00.000","5.25","92"
"2016-10-26 00:00:00.000","150689.8","89"
"2016-11-09 00:00:00.000","213826.4","65"
"2017-09-06 00:00:00.000","101749.0","4"
"2011-10-23 00:00:00.000","2005558.0","1"
"2016-08-30 00:00:00.000","143581.0","3"
"2016-12-28 00:00:00.000",,"5"
"2017-11-08 00:00:00.000",,"1"
"2017-08-30 00:00:00.000","15890.0","1"
"2016-08-24 00:00:00.000","287914.11320754717","314"
"2016-11-08 00:00:00.000","335279.3333333333","123"
"2016-08-25 00:00:00.000","370715.3611111111","148"
"2018-08-23 00:00:00.000",,"2"
"2016-12-29 00:00:00.000","191537.66666666666","9"
"2018-01-04 00:00:00.000",,"8"
"2017-08-11 00:00:00.000","159008.0","3"
"2016-08-31 00:00:00.000","449768.0","7"
"2017-11-01 00:00:00.000",,"2"
"2015-05-20 00:00:00.000","979241.8450413223","688"
"2016-04-22 00:00:00.000","384747.45714285714","60"
"2016-05-26 00:00:00.000","297805.8805970149","1971"
"2018-05-05 00:00:00.000","33100.0","33"
"2016-07-01 00:00:00.000","303712.1836734694","161"
"2016-05-06 00:00:00.000","203442.49425287356","229"
"2017-05-06 00:00:00.000","158972.5","57"
"2016-07-08 00:00:00.000","120489.15","32"
"2018-07-14 00:00:00.000",,"8"
"2017-07-07 00:00:00.000",,"1"
"2017-03-30 00:00:00.000","115490.52820512821","1366"
"2016-06-08 00:00:00.000","397857.19393939397","1331"
"2017-06-22 00:00:00.000","359418.25","69"
"2016-06-21 00:00:00.000","451865.2105263158","791"
"2016-06-22 00:00:00.000","325749.94680851063","314"
