"_col0","lifespan_minutes","changesets","objects"
"2017-04-14 00:00:00.000","4168.142857142857","7","72"
"2015-05-06 00:00:00.000","727187.5964912281","42","247"
"2017-04-28 00:00:00.000","252703.42857142858","38","324"
"2015-04-29 00:00:00.000","774074.8305084746","31","128"
"2016-04-14 00:00:00.000","118501.81428571428","7","86"
"2014-04-29 00:00:00.000","312932.0","5","5"
"2018-06-16 00:00:00.000",,"2","5"
"2018-06-09 00:00:00.000",,"1","1"
"2018-03-31 00:00:00.000",,"5","18"
"2015-07-08 00:00:00.000",,"1","3"
"2017-06-23 00:00:00.000",,"1","1"
"2016-06-24 00:00:00.000","668653.664893617","29","659"
"2017-04-21 00:00:00.000","177839.97435897434","28","243"
"2018-04-13 00:00:00.000","194995.0","5","31"
"2016-04-15 00:00:00.000","201139.51351351352","6","127"
"2016-06-30 00:00:00.000","105853.61538461539","9","62"
"2016-04-27 00:00:00.000","242170.4193548387","6","158"
"2018-06-29 00:00:00.000",,"2","23"
"2017-02-17 00:00:00.000","195620.0","3","5"
"2015-06-18 00:00:00.000",,"1","45"
"2016-02-17 00:00:00.000","356626.75","3","36"
"2016-04-06 00:00:00.000","531195.7341772151","16","1321"
"2016-03-30 00:00:00.000","217056.97674418605","14","118"
"2017-04-19 00:00:00.000","384248.6666666667","31","197"
"2018-06-14 00:00:00.000","1126.0","8","89"
"2016-04-20 00:00:00.000","163561.0","6","85"
"2018-04-05 00:00:00.000","18265.0","7","29"
"2017-02-08 00:00:00.000","100198.08510638298","11","487"
"2018-04-12 00:00:00.000",,"5","13"
"2015-05-27 00:00:00.000","574252.9","6","10"
"2015-04-01 00:00:00.000","1407839.322580645","3","34"
"2013-04-09 00:00:00.000","1663378.2608695652","1","54"
"2016-06-08 00:00:00.000","397857.19393939397","47","1331"
"2017-03-30 00:00:00.000","115490.52820512821","101","1366"
"2016-06-22 00:00:00.000","325749.94680851063","29","314"
"2018-06-08 00:00:00.000",,"6","25"
"2016-06-21 00:00:00.000","451865.2105263158","30","791"
"2017-06-22 00:00:00.000","359418.25","3","69"
"2018-06-15 00:00:00.000",,"6","26"
"2017-02-02 00:00:00.000","36651.0","5","28"
"2016-06-09 00:00:00.000","329151.3245614035","9","139"
"2018-03-16 00:00:00.000","38842.0","1","1"
"2018-04-06 00:00:00.000",,"1","2"
"2016-02-10 00:00:00.000","399280.46875","3","64"
"2018-03-30 00:00:00.000",,"2","2"
"2013-02-04 00:00:00.000","1705750.0","1","1"
"2016-12-13 00:00:00.000","186127.9090909091","7","319"
"2016-11-29 00:00:00.000","222005.0","38","193"
"2017-08-08 00:00:00.000","4410.0","2","2"
"2016-11-22 00:00:00.000","142310.25","10","120"
"2018-11-28 00:00:00.000","14334.0","12","12"
"2016-12-06 00:00:00.000","323347.625","11","101"
"2016-09-27 00:00:00.000","173431.8023255814","12","284"
"2013-07-28 00:00:00.000","1737416.7333333334","3","49"
"2017-12-12 00:00:00.000",,"3","103"
"2017-09-13 00:00:00.000",,"11","214"
"2015-08-02 00:00:00.000","1380.0","1","1"
"2018-11-21 00:00:00.000",,"1","2"
"2016-12-19 00:00:00.000","21.0","14","488"
"2017-01-24 00:00:00.000","470.75","14","220"
"2014-10-06 00:00:00.000","888491.0","3","3"
