"_col0","avg_lifespan_minutes","num_users","edits","objects"
"2014-04-09 00:00:00.000","491340.0","1","1","1"
"2019-03-27 00:00:00.000",,"1","7","7"
"2019-04-10 00:00:00.000","171.83333333333334","1","43","31"
"2011-02-16 00:00:00.000","474076.0","1","5","5"
"2013-04-12 00:00:00.000","593765.1578947369","1","30","30"
"2016-07-02 00:00:00.000",,"1","1","1"
"2018-06-25 00:00:00.000",,"1","4","4"
"2018-05-14 00:00:00.000",,"2","41","41"
"2011-01-25 00:00:00.000","570645.875","2","8","8"
"2016-05-14 00:00:00.000","1406194.0","1","2","2"
"2013-05-16 00:00:00.000","258807.0","1","9","9"
"2016-06-03 00:00:00.000",,"1","2","2"
"2011-03-29 00:00:00.000","1174460.0","1","3","3"
"2013-03-07 00:00:00.000","434715.9166666667","2","28","28"
"2014-05-15 00:00:00.000","640552.5","1","12","12"
"2017-03-05 00:00:00.000","501853.0","1","4","4"
"2016-01-22 00:00:00.000",,"1","1","1"
"2017-05-26 00:00:00.000",,"1","2","2"
"2016-07-22 00:00:00.000",,"1","1","1"
"2015-05-28 00:00:00.000","1600404.0","1","1","1"
"2017-07-29 00:00:00.000",,"1","1","1"
"2015-05-15 00:00:00.000","368465.13333333336","2","55","55"
"2018-07-22 00:00:00.000",,"1","33","33"
"2017-05-14 00:00:00.000","510108.0","1","3","3"
"2015-03-13 00:00:00.000",,"1","1","1"
"2011-01-24 00:00:00.000","79193.0","1","4","3"
"2013-01-23 00:00:00.000","249812.0","1","1","1"
"2017-07-19 00:00:00.000","183403.2142857143","1","104","101"
"2014-06-01 00:00:00.000","700915.4807692308","1","233","219"
"2017-07-18 00:00:00.000","57215.82142857143","1","336","331"
"2015-03-16 00:00:00.000","1152223.7","1","25","25"
"2017-05-22 00:00:00.000","86311.0","2","22","22"
"2011-03-31 00:00:00.000","1201338.4347826086","2","23","23"
"2014-01-19 00:00:00.000","12.5","1","4","2"
"2016-07-05 00:00:00.000",,"1","2","2"
"2017-05-23 00:00:00.000",,"1","2","2"
"2015-05-18 00:00:00.000","1399436.0","1","2","2"
"2019-02-28 00:00:00.000",,"1","1","1"
"2016-02-23 00:00:00.000",,"1","1","1"
"2018-03-13 00:00:00.000",,"1","1","1"
"2019-05-16 00:00:00.000",,"1","1","1"
"2017-02-15 00:00:00.000","1599.0","1","1","1"
"2019-05-02 00:00:00.000","21.0","1","24","24"
"2015-07-13 00:00:00.000","449128.3333333333","3","14","14"
"2017-07-11 00:00:00.000",,"1","4","4"
"2015-05-24 00:00:00.000","676416.0","1","4","4"
"2016-03-08 00:00:00.000",,"1","2","2"
"2013-12-30 00:00:00.000",,"1","4","4"
"2016-05-10 00:00:00.000","323995.5","1","2","2"
"2014-03-23 00:00:00.000","475520.0","1","16","16"
"2013-05-05 00:00:00.000",,"1","1","1"
"2016-05-17 00:00:00.000",,"1","1","1"
"2013-10-21 00:00:00.000","30736.0","1","8","8"
"2013-08-12 00:00:00.000","120708.54166666667","1","24","23"
"2018-10-24 00:00:00.000","225826.5","2","7","7"
"2017-10-25 00:00:00.000","107757.0","3","16","16"
"2012-08-25 00:00:00.000","281739.0","1","1","1"
"2016-12-21 00:00:00.000","934345.0","1","6","6"
"2014-10-26 00:00:00.000",,"1","2","2"
"2017-12-14 00:00:00.000",,"1","2","2"
"2013-12-16 00:00:00.000","162833.0","1","6","6"
"2014-08-25 00:00:00.000","807573.5","1","12","11"
"2016-08-23 00:00:00.000","808993.0","1","10","10"
"2016-12-20 00:00:00.000","939916.0","1","5","5"
"2018-10-11 00:00:00.000",,"1","1","1"
"2016-10-11 00:00:00.000","1168067.0","1","1","1"
"2017-05-24 00:00:00.000",,"3","26","26"
"2013-06-03 00:00:00.000","200802.93333333332","1","15","15"
"2018-06-13 00:00:00.000","413026.0","1","8","8"
"2019-04-04 00:00:00.000",,"1","2","2"
"2011-03-27 00:00:00.000","777847.7142857143","1","14","14"
"2018-03-28 00:00:00.000",,"2","4","4"
"2016-06-06 00:00:00.000","1181268.0","2","2","2"
"2011-02-11 00:00:00.000","901812.965","2","204","189"
"2017-05-25 00:00:00.000","87952.0","1","12","12"
"2018-03-08 00:00:00.000",,"1","1","1"
"2019-03-14 00:00:00.000",,"1","5","5"
"2018-03-22 00:00:00.000","8307.0","1","2","2"
"2014-01-27 00:00:00.000","111631.0","1","2","2"
"2019-03-08 00:00:00.000",,"1","1","1"
"2013-05-03 00:00:00.000","769252.1111111111","1","9","9"
"2010-03-03 00:00:00.000","30079.083333333332","1","24","14"
"2015-04-27 00:00:00.000","23428.63157894737","1","33","25"
"2018-02-20 00:00:00.000",,"1","17","17"
"2013-03-08 00:00:00.000","390425.55555555556","1","10","10"
"2011-03-04 00:00:00.000","1070681.9285714286","1","14","14"
"2014-01-04 00:00:00.000","699889.0","1","2","2"
"2017-03-13 00:00:00.000",,"1","1","1"
"2019-04-11 00:00:00.000",,"2","2","2"
"2011-03-17 00:00:00.000","1156227.5","1","2","2"
