"_col0","lifespan","objects"
"2017-07-03 00:00:00.000","279387.6","239"
"2016-02-29 00:00:00.000","142526.34831460673","95"
"2017-07-17 00:00:00.000","182741.42857142858","135"
"2018-07-09 00:00:00.000","2.0","28"
"2017-07-10 00:00:00.000","219911.44444444444","13"
"2019-04-22 00:00:00.000","41113.0","14"
"2016-06-27 00:00:00.000","281766.14015477215","2898"
"2016-05-02 00:00:00.000","235969.52766106444","4668"
"2017-05-08 00:00:00.000","161473.75","1073"
"2016-07-11 00:00:00.000","404899.4899598394","689"
"2016-02-22 00:00:00.000","252422.42052679384","1350"
"2016-02-08 00:00:00.000","272888.1609195402","136"
"2015-04-20 00:00:00.000","761734.1324786325","350"
"2017-07-24 00:00:00.000","246137.0","29"
"2015-02-09 00:00:00.000","1481998.0","12"
"2018-03-05 00:00:00.000","76920.20512820513","600"
"2019-03-04 00:00:00.000",,"1"
"2019-03-18 00:00:00.000",,"33"
"2019-03-11 00:00:00.000",,"3"
"2018-05-07 00:00:00.000","87858.5","92"
"2019-05-06 00:00:00.000","1476.0","7"
"2018-07-16 00:00:00.000","216624.8","32"
"2019-04-29 00:00:00.000",,"262"
"2019-05-13 00:00:00.000",,"1"
"2017-12-11 00:00:00.000","300788.9090909091","556"
"2017-11-27 00:00:00.000","216506.09016393442","2963"
"2017-01-23 00:00:00.000","163014.13995485328","2848"
"2016-11-07 00:00:00.000","273414.71649484534","2978"
"2018-02-12 00:00:00.000","29407.190476190477","384"
"2017-12-04 00:00:00.000","199761.25","1816"
"2019-02-04 00:00:00.000",,"2"
"2017-09-11 00:00:00.000","712996.9055793991","1557"
"2016-09-19 00:00:00.000","281046.57916241064","3712"
"2016-11-28 00:00:00.000","312833.9073083779","3105"
"2015-09-07 00:00:00.000","634147.0625","26"
"2018-01-29 00:00:00.000",,"4"
"2017-01-16 00:00:00.000","219578.625","843"
"2016-09-12 00:00:00.000","318373.16560509556","1838"
"2016-09-26 00:00:00.000","239655.924330617","2615"
"2017-11-20 00:00:00.000","100917.04651162791","789"
"2017-10-02 00:00:00.000","665658.5714285715","146"
"2015-11-16 00:00:00.000","505109.17647058825","23"
"2018-11-26 00:00:00.000","10754.0","32"
"2015-09-14 00:00:00.000","340531.5","16"
"2017-09-18 00:00:00.000","150987.0","11"
"2018-01-22 00:00:00.000","45052.75","23"
"2014-04-21 00:00:00.000","1181223.3333333333","3"
"2014-04-14 00:00:00.000","1032167.0","10"
"2013-01-28 00:00:00.000","1209368.6842105263","19"
"2014-04-28 00:00:00.000","467701.0","9"
"2013-04-22 00:00:00.000",,"1"
"2013-04-08 00:00:00.000","1663378.2608695652","54"
"2013-06-17 00:00:00.000","401587.0","1"
"2014-02-17 00:00:00.000","1168207.0","2"
"2013-07-22 00:00:00.000","1698092.4533333334","164"
"2013-07-15 00:00:00.000","1819107.0","30"
"2011-07-04 00:00:00.000","103617.18032786885","122"
"2013-09-23 00:00:00.000","685722.25","17"
"2012-12-03 00:00:00.000","1756281.0","1"
"2015-06-01 00:00:00.000","954581.1598639456","472"
"2014-03-24 00:00:00.000","934739.0","1"
"2015-04-06 00:00:00.000","296465.0","2"
"2015-04-13 00:00:00.000","601218.5","2"
"2015-06-22 00:00:00.000","955326.0","1"
"2012-12-31 00:00:00.000","1753713.0","1"
"2014-05-19 00:00:00.000","1307432.0","1"
"2014-03-17 00:00:00.000","577819.0","1"
"2015-06-15 00:00:00.000","974819.0","138"
"2015-03-30 00:00:00.000","1407839.322580645","34"
"2015-03-23 00:00:00.000","568062.1428571428","7"
"2014-03-31 00:00:00.000","924423.8333333334","6"
"2016-01-04 00:00:00.000","351416.0574712644","127"
"2015-12-28 00:00:00.000","441958.1666666667","6"
"2017-04-17 00:00:00.000","205383.82712765958","4767"
"2018-06-25 00:00:00.000","23083.0","138"
"2016-02-01 00:00:00.000","295675.74375","190"
"2019-04-15 00:00:00.000","4.0","43"
"2018-08-20 00:00:00.000","116028.0","161"
"2018-04-23 00:00:00.000","40477.767441860466","353"
"2018-07-02 00:00:00.000",,"22"
"2017-03-27 00:00:00.000","88021.69707401033","4317"
"2016-04-04 00:00:00.000","399067.9438746439","6862"
"2017-06-19 00:00:00.000","418003.1666666667","122"
"2017-06-12 00:00:00.000","364538.63302752294","733"
"2018-06-11 00:00:00.000","76393.91304347826","1064"
"2017-06-26 00:00:00.000","389249.71428571426","16"
"2016-12-26 00:00:00.000","428600.4683544304","410"
"2016-12-12 00:00:00.000","298163.54545454547","853"
"2016-10-24 00:00:00.000","411540.96509598603","2641"
"2016-08-01 00:00:00.000","180583.50747863247","1482"
"2016-12-05 00:00:00.000","375704.51713395637","2368"
"2016-08-08 00:00:00.000","261083.3215613383","972"
"2017-10-09 00:00:00.000","233220.5","67"
"2015-07-27 00:00:00.000","199053.0","4"
"2014-09-29 00:00:00.000","486727.0","2"
"2015-10-05 00:00:00.000","735866.6666666666","8"
"2016-10-31 00:00:00.000","311191.3471698113","2186"
"2017-09-04 00:00:00.000","220273.2857142857","180"
"2017-01-09 00:00:00.000","236091.5128205128","1359"
"2017-11-06 00:00:00.000","187750.72727272726","85"
"2018-11-19 00:00:00.000","5.166666666666667","79"
"2017-10-30 00:00:00.000","264947.2","53"
"2018-09-17 00:00:00.000",,"16"
"2018-09-03 00:00:00.000",,"1"
"2019-01-07 00:00:00.000",,"1"
"2016-05-30 00:00:00.000","319866.4990211433","12482"
"2015-05-25 00:00:00.000","950228.015060241","1102"
"2016-03-21 00:00:00.000","337877.8021978022","123"
"2016-07-18 00:00:00.000","444036.60869565216","111"
"2016-07-25 00:00:00.000","383221.83","792"
"2016-03-07 00:00:00.000","289107.46875","32"
"2014-05-12 00:00:00.000","704462.0","3"
"2015-07-13 00:00:00.000","913103.0","3"
"2015-05-11 00:00:00.000","617100.6554770318","5487"
"2015-05-04 00:00:00.000","775475.7312992126","1536"
"2015-03-02 00:00:00.000","700013.6","6"
"2017-12-25 00:00:00.000","150170.66666666666","198"
"2018-10-29 00:00:00.000",,"11"
"2019-02-25 00:00:00.000",,"2"
"2018-12-17 00:00:00.000","5.25","124"
"2018-10-08 00:00:00.000",,"2"
"2016-05-23 00:00:00.000","293570.7341101695","12751"
"2016-03-28 00:00:00.000","272793.0739418664","2879"
"2015-05-18 00:00:00.000","887894.0617142858","3313"
"2016-05-16 00:00:00.000","298633.45627376426","9108"
"2016-03-14 00:00:00.000","154415.59541984732","283"
"2017-05-22 00:00:00.000","196331.0909090909","17"
"2017-07-31 00:00:00.000","171043.42857142858","37"
"2015-03-16 00:00:00.000","656393.0","1"
"2015-03-09 00:00:00.000","607511.0","1"
"2016-09-05 00:00:00.000","339451.29909560725","5475"
"2017-01-30 00:00:00.000","169205.38211382114","1695"
"2016-11-21 00:00:00.000","233649.5","1421"
"2016-11-14 00:00:00.000","234721.61821705426","1815"
"2017-09-25 00:00:00.000","301557.5294117647","38"
"2018-02-05 00:00:00.000","3.0833333333333335","98"
"2017-03-13 00:00:00.000","104126.72","625"
"2015-04-27 00:00:00.000","777831.8698630137","1541"
"2017-02-27 00:00:00.000","256301.56164383562","1208"
"2017-03-06 00:00:00.000","208493.61904761905","180"
"2013-09-30 00:00:00.000","964778.8333333334","6"
"2011-09-19 00:00:00.000","2274835.8629032257","126"
"2013-11-25 00:00:00.000","736404.0","2"
"2011-11-21 00:00:00.000","529230.0","4"
"2013-12-02 00:00:00.000","213147.0","1"
"2012-11-19 00:00:00.000","1323299.5","2"
"2017-08-07 00:00:00.000","233593.30737704918","519"
"2018-06-04 00:00:00.000","23396.38","838"
"2017-03-20 00:00:00.000","101790.46376811594","207"
"2019-05-27 00:00:00.000","3.0","33"
"2019-03-25 00:00:00.000",,"3"
"2019-02-18 00:00:00.000",,"92"
"2018-10-22 00:00:00.000","208559.0","3"
"2017-10-16 00:00:00.000","100055.375","718"
"2018-12-31 00:00:00.000",,"21"
"2018-12-24 00:00:00.000",,"11"
"2018-10-15 00:00:00.000",,"2"
"2018-05-14 00:00:00.000","43520.04878048781","467"
"2019-05-20 00:00:00.000","3761.0","22"
"2013-02-04 00:00:00.000","1574224.888888889","9"
