"_col0","lifespan_minutes","changesets","objects"
"2019-03-14 00:00:00.000",,"1","1"
"2013-05-27 00:00:00.000","237439.0","1","1"
"2011-04-01 00:00:00.000","2969299.0","1","2"
"2018-08-02 00:00:00.000",,"1","1"
"2019-04-04 00:00:00.000",,"1","1"
"2013-04-19 00:00:00.000","293164.0","1","1"
"2015-04-25 00:00:00.000",,"1","1"
"2015-05-02 00:00:00.000","658338.0","2","3"
"2013-05-09 00:00:00.000","266175.0","1","1"
"2011-02-23 00:00:00.000","1215638.2916666667","1","24"
"2013-02-02 00:00:00.000","200529.0","2","2"
"2015-08-24 00:00:00.000",,"1","1"
"2018-10-17 00:00:00.000","41436.0","5","5"
"2018-10-31 00:00:00.000","300252.0","1","1"
"2017-10-08 00:00:00.000",,"5","72"
"2017-10-14 00:00:00.000","23903.0","1","74"
"2017-12-03 00:00:00.000","126682.0","1","9"
"2015-07-11 00:00:00.000","263354.0","14","27"
"2013-06-14 00:00:00.000","217074.0","1","1"
"2013-05-02 00:00:00.000","277031.0","2","2"
"2018-06-18 00:00:00.000",,"1","12"
"2016-04-28 00:00:00.000",,"1","4"
"2015-05-05 00:00:00.000","1163332.2","6","6"
"2014-04-23 00:00:00.000",,"1","1"
"2013-05-06 00:00:00.000","5786.0","1","1"
"2013-02-26 00:00:00.000","315471.4285714286","2","7"
"2013-03-04 00:00:00.000","363816.0","1","1"
"2017-10-25 00:00:00.000","27133.0","1","2"
"2018-10-04 00:00:00.000",,"3","3"
"2018-10-05 00:00:00.000","3.0","2","3"
"2017-07-13 00:00:00.000","6079.0","8","148"
"2011-02-20 00:00:00.000","1429536.0","1","1"
"2015-05-06 00:00:00.000","0.75","5","5"
"2013-02-25 00:00:00.000","286772.75","1","4"
"2013-04-23 00:00:00.000","289380.3333333333","1","3"
"2015-05-09 00:00:00.000","879465.75","10","22"
"2017-07-17 00:00:00.000","1902.0","2","22"
"2017-09-01 00:00:00.000","70003.8","7","115"
"2017-09-14 00:00:00.000",,"1","35"
"2013-11-12 00:00:00.000","75283.87890625","48","869"
"2018-11-16 00:00:00.000",,"1","2"
"2013-07-15 00:00:00.000","172779.0","2","3"
"2015-12-01 00:00:00.000",,"1","1"
"2014-02-11 00:00:00.000","639171.0","1","3"
"2015-05-15 00:00:00.000","14046.333333333334","8","18"
"2018-07-22 00:00:00.000",,"3","5"
"2015-05-20 00:00:00.000","577404.0","5","5"
"2015-07-10 00:00:00.000",,"1","3"
"2013-05-08 00:00:00.000","264900.0","1","2"
"2017-07-28 00:00:00.000",,"1","14"
"2013-02-27 00:00:00.000","312073.0","3","6"
"2013-05-14 00:00:00.000","504423.0","1","1"
