"_col0","avg_lifespan_minutes","num_users","new_buildings"
"2014-02-11 00:00:00.000","639171.0","1","3"
"2018-11-21 00:00:00.000",,"1","1"
"2017-09-13 00:00:00.000","900.0","1","53"
"2016-11-22 00:00:00.000",,"1","100"
"2015-05-14 00:00:00.000","56194.05882352941","2","30"
"2013-03-06 00:00:00.000","356777.0","1","1"
"2017-07-21 00:00:00.000",,"1","61"
"2018-06-18 00:00:00.000",,"1","12"
"2013-05-02 00:00:00.000","277031.0","1","2"
"2013-06-14 00:00:00.000","217074.0","1","1"
"2015-07-11 00:00:00.000","263354.0","3","27"
"2015-07-10 00:00:00.000",,"1","3"
"2013-05-08 00:00:00.000","264900.0","1","2"
"2015-05-20 00:00:00.000","577404.0","1","5"
"2017-07-28 00:00:00.000",,"1","14"
"2013-05-21 00:00:00.000","541771.0","1","1"
"2011-03-20 00:00:00.000","811721.725","1","80"
"2013-03-13 00:00:00.000","183656.36842105264","1","20"
"2013-02-27 00:00:00.000","312073.0","1","6"
"2013-05-14 00:00:00.000","504423.0","1","1"
"2013-05-03 00:00:00.000","272699.0","1","2"
"2014-01-04 00:00:00.000","699889.0","1","2"
"2011-03-04 00:00:00.000","1286039.0","1","4"
"2015-04-27 00:00:00.000","160695.0","1","5"
"2017-07-17 00:00:00.000","1902.0","1","22"
"2015-05-09 00:00:00.000","879465.75","1","22"
"2013-03-15 00:00:00.000","348198.5","1","2"
"2011-04-01 00:00:00.000","2969299.0","1","2"
"2013-05-27 00:00:00.000","237439.0","1","1"
"2017-09-27 00:00:00.000",,"1","1"
"2017-09-20 00:00:00.000",,"1","21"
"2018-10-02 00:00:00.000","1.0","1","1"
"2015-04-28 00:00:00.000","73664.53846153847","4","19"
"2016-04-07 00:00:00.000",,"1","3"
"2013-01-22 00:00:00.000","419979.6666666667","1","3"
"2011-02-19 00:00:00.000","486444.0","1","5"
"2013-04-15 00:00:00.000","306491.0","1","1"
"2014-04-08 00:00:00.000",,"1","1"
"2013-04-22 00:00:00.000","166898.16666666666","2","6"
"2018-06-28 00:00:00.000",,"1","3"
"2016-01-23 00:00:00.000","75.5","4","6"
"2011-02-23 00:00:00.000","1215638.2916666667","1","24"
"2013-05-09 00:00:00.000","266175.0","1","1"
"2013-02-02 00:00:00.000","200529.0","1","2"
"2015-05-02 00:00:00.000","658338.0","2","3"
"2015-04-25 00:00:00.000",,"1","1"
"2013-04-19 00:00:00.000","293164.0","1","1"
"2017-10-14 00:00:00.000","23903.0","1","74"
"2017-10-08 00:00:00.000",,"1","72"
"2017-07-13 00:00:00.000","6079.0","1","148"
"2011-02-20 00:00:00.000","1429536.0","1","1"
"2017-07-23 00:00:00.000",,"1","2"
"2015-05-08 00:00:00.000","1467423.0","1","4"
"2018-03-05 00:00:00.000","264863.0","1","2"
"2011-03-22 00:00:00.000","682041.25","1","12"
"2019-03-14 00:00:00.000",,"1","1"
"2014-04-04 00:00:00.000",,"1","1"
"2015-04-24 00:00:00.000","580525.8888888889","7","15"
"2011-03-30 00:00:00.000","994299.2195121951","1","41"
"2018-08-02 00:00:00.000",,"1","1"
"2019-04-04 00:00:00.000",,"1","1"
"2018-03-25 00:00:00.000",,"1","20"
"2017-03-26 00:00:00.000","350386.5","1","16"
"2013-04-18 00:00:00.000","295528.0","1","1"
"2013-04-17 00:00:00.000","300525.0","1","2"
"2018-03-26 00:00:00.000",,"1","7"
"2011-03-16 00:00:00.000","5283.0","1","1"
"2013-03-07 00:00:00.000","2203335.0","1","1"
"2011-01-25 00:00:00.000","3062723.0","1","1"
"2011-03-29 00:00:00.000","1383673.0","1","1"
"2017-12-03 00:00:00.000","126682.0","1","9"
"2018-07-22 00:00:00.000",,"1","5"
"2015-05-15 00:00:00.000","14046.333333333334","2","18"
"2017-08-17 00:00:00.000",,"1","5"
"2013-11-24 00:00:00.000","2002903.75","2","41"
"2018-10-17 00:00:00.000","41436.0","1","5"
"2018-10-31 00:00:00.000","300252.0","1","1"
"2015-08-24 00:00:00.000",,"1","1"
"2013-05-06 00:00:00.000","5786.0","1","1"
"2013-03-04 00:00:00.000","363816.0","1","1"
"2014-04-23 00:00:00.000",,"1","1"
"2013-02-26 00:00:00.000","315471.4285714286","1","7"
"2015-05-05 00:00:00.000","1163332.2","1","6"
"2016-04-28 00:00:00.000",,"1","4"
"2013-02-25 00:00:00.000","286772.75","1","4"
"2015-05-06 00:00:00.000","0.75","1","5"
"2013-04-23 00:00:00.000","289380.3333333333","1","3"
"2019-05-02 00:00:00.000",,"1","15"
"2015-07-13 00:00:00.000","112610.0","1","1"
"2017-09-15 00:00:00.000","112879.0","1","142"
"2012-11-19 00:00:00.000","222286.0","1","1"
"2017-09-28 00:00:00.000",,"1","4"
"2015-07-14 00:00:00.000",,"2","4"
"2017-09-19 00:00:00.000","790.0","1","88"
"2017-11-25 00:00:00.000","1.0","5","11"
